               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1282,            0.041268,                   0,           0.0033333,            0.086957,            0.005637,           0.0014704,             0.13525,            0.031894,                   0,              0.0982,              0.0002,              0.0002
                   1,             0.12326,            0.044611,                   0,           0.0033333,            0.086957,           0.0057015,           0.0014786,             0.13286,            0.031091,                   0,            0.095498,          0.00049752,          0.00049752
                   2,             0.11925,            0.038386,                   0,           0.0066667,             0.17391,           0.0082976,           0.0023174,             0.12808,            0.030482,                   0,            0.092792,          0.00079208,          0.00079208
                   3,             0.11644,            0.045092,                   0,           0.0066667,             0.26087,           0.0096758,            0.002482,              0.1188,            0.030207,                   0,            0.090084,           0.0010837,           0.0010837
                   4,             0.11196,            0.043399,                   0,           0.0044444,             0.17391,            0.016923,            0.005119,             0.10328,            0.030253,                   0,            0.087372,           0.0013723,           0.0013723
                   5,             0.10307,            0.037193,                   0,           0.0055556,             0.21739,            0.013887,           0.0044392,            0.085866,            0.030959,                   0,            0.084658,           0.0016579,           0.0016579
                   6,            0.091099,            0.043236,                   0,            0.080352,             0.17391,            0.049557,            0.020037,            0.070283,            0.031652,                   0,            0.081941,           0.0019406,           0.0019406
                   7,            0.093261,             0.05449,                   0,            0.061267,             0.17391,            0.047934,            0.022562,            0.068365,            0.030997,                   0,             0.07922,           0.0022203,           0.0022203
                   8,            0.089781,            0.048111,                   0,             0.14185,             0.30435,             0.18369,            0.044414,            0.065022,            0.029773,                   0,            0.076497,            0.002497,            0.002497
                   9,            0.086987,            0.049009,                   0,             0.45127,             0.43478,             0.34892,            0.094092,            0.059992,            0.029588,                   0,            0.073771,           0.0027708,           0.0027708
                  10,            0.084973,            0.053293,                   0,             0.38514,             0.43478,             0.42725,             0.13117,             0.05765,            0.028015,                   0,            0.071042,           0.0030416,           0.0030416
                  11,            0.081424,            0.047991,                   0,             0.44929,             0.65217,             0.51687,             0.17317,            0.056287,            0.027171,                   0,            0.068309,           0.0033094,           0.0033094
                  12,            0.080131,             0.04816,                   0,             0.23606,             0.65217,             0.30878,            0.071504,            0.058781,            0.025369,                   0,            0.065574,           0.0035743,           0.0035743
                  13,            0.081738,            0.050223,                   0,             0.17699,             0.26087,            0.095809,            0.034314,            0.066792,            0.024352,                   0,            0.062836,           0.0038362,           0.0038362
                  14,             0.06685,            0.037389,                   0,             0.36668,             0.47826,             0.39425,             0.15264,            0.072868,            0.026492,                   0,            0.060095,           0.0040951,           0.0040951
                  15,            0.075768,            0.033686,                   0,             0.41406,             0.56522,             0.36243,             0.12825,            0.058224,            0.026227,                   0,            0.057351,            0.004351,            0.004351
                  16,            0.072207,            0.039622,                   0,             0.65072,             0.56709,             0.64356,             0.26219,            0.051864,            0.025663,                   0,            0.054604,            0.004604,            0.004604
                  17,            0.067862,            0.037954,                   0,             0.61364,             0.56522,             0.55683,             0.15159,            0.059932,            0.023038,                   0,            0.051854,            0.004854,            0.004854
                  18,            0.078233,            0.043483,                   0,             0.55392,             0.56522,             0.55616,             0.12417,            0.062391,            0.021749,                   0,            0.049101,            0.005101,            0.005101
                  19,            0.069416,            0.036057,                   0,             0.54813,             0.56522,              0.5993,             0.30982,            0.056375,            0.022152,                   0,            0.046345,           0.0053451,           0.0053451
                  20,            0.074782,            0.036096,                   0,              0.3779,             0.56522,              0.4299,             0.12312,            0.058734,            0.020405,                   0,            0.043586,           0.0055862,           0.0055862
                  21,            0.067952,            0.034824,                   0,             0.68907,             0.57859,             0.63732,             0.35713,            0.054781,            0.018843,                   0,            0.040824,           0.0058243,           0.0058243
                  22,             0.06984,            0.031458,                   0,             0.36387,             0.78261,             0.35747,             0.15103,             0.05716,            0.017894,                   0,            0.038059,           0.0060595,           0.0060595
                  23,            0.068435,            0.038146,                   0,              0.4882,             0.69565,             0.59267,             0.23293,            0.052451,             0.01856,                   0,            0.035292,           0.0062917,           0.0062917
                  24,            0.070287,            0.041729,                   0,             0.57334,             0.65217,             0.58832,             0.13223,            0.051129,            0.018594,                   0,            0.032521,           0.0065209,           0.0065209
                  25,            0.063851,            0.042518,                   0,             0.72335,             0.56522,             0.66384,             0.28645,             0.06683,            0.019036,                   0,            0.029747,           0.0067471,           0.0067471
                  26,            0.075379,            0.038386,                   0,             0.16626,             0.52174,             0.19264,            0.070357,            0.059004,             0.01926,                   0,             0.02697,           0.0069704,           0.0069704
                  27,            0.061539,            0.031276,                   0,              0.5327,             0.73913,             0.64667,             0.32115,            0.059628,            0.018553,                   0,            0.024191,           0.0071907,           0.0071907
                  28,             0.06464,            0.034564,                   0,              0.5327,             0.73913,             0.64667,             0.32115,            0.059628,            0.018553,                   0,            0.021408,            0.007408,            0.007408
                  29,            0.064856,            0.034611,                   0,              0.8574,              0.6087,             0.76764,             0.37365,            0.056968,            0.018269,                   0,            0.018622,           0.0076224,           0.0076224
                  30,            0.066642,            0.033514,                   0,             0.69492,             0.69565,             0.73401,             0.29805,            0.058172,            0.018255,                   0,            0.015834,           0.0078338,           0.0078338
                  31,            0.068202,            0.031848,                   0,             0.81046,              0.6087,             0.75388,             0.34432,            0.044379,            0.018025,                   0,            0.013042,           0.0080422,           0.0080422
                  32,            0.054012,            0.038381,                   0,             0.81046,              0.6087,             0.75388,             0.34432,            0.044379,            0.018025,                   0,            0.010248,           0.0082477,           0.0082477
